Batch_Size,BanditNet_Value,BanditNet_Loss,SNIPS_Value,SNIPS_Loss
64,0.20689363777637482,0.7416794300079346,0.10502137243747711,0.8610108494758606
128,0.19380448758602142,0.780174195766449,0.12448729574680328,0.8636963367462158
256,0.12684370577335358,0.8688867092132568,0.11913691461086273,0.8620232939720154
512,0.18853257596492767,0.780601441860199,0.15687847137451172,0.7868620753288269
1024,0.1756957620382309,0.7815707921981812,0.10975830256938934,0.8945661783218384
2048,0.22271673381328583,0.7290008068084717,0.10528328269720078,0.9141712784767151
4096,0.21021346747875214,0.7174968123435974,0.1324721723794937,0.858963131904602
