Batch_Size,BanditNet_Value,BanditNet_Loss,SNIPS_Value,SNIPS_Loss
64,0.2172599881887436,0.7124348282814026,0.10756157338619232,0.8722429275512695
128,0.10906437039375305,0.881159782409668,0.11805941164493561,0.8896043300628662
256,0.10586566478013992,0.8666161894798279,0.14123770594596863,0.8656289577484131
512,0.19014452397823334,0.7490904331207275,0.07949547469615936,0.9132755994796753
1024,0.21061521768569946,0.7350210547447205,0.12964075803756714,0.8366609215736389
2048,0.1894395798444748,0.7639780640602112,0.10555371642112732,0.8914798498153687
4096,0.19890069961547852,0.7532165050506592,0.10635340213775635,0.8741147518157959
