Batch_Size,BanditNet_Value,BanditNet_Loss,SNIPS_Value,SNIPS_Loss
64,0.07261142134666443,0.9180900454521179,0.08634651452302933,0.8843541741371155
128,0.0931156575679779,0.8974903225898743,0.08844666182994843,0.8934233784675598
256,0.16151724755764008,0.8295487761497498,0.11497370153665543,0.8427345156669617
512,0.12919048964977264,0.788617730140686,0.08611742407083511,0.8586195111274719
1024,0.20250867307186127,0.7358907461166382,0.1266627311706543,0.8609011769294739
2048,0.2068261206150055,0.7115663886070251,0.09128447622060776,0.8904736042022705
4096,0.10231105983257294,0.8612636923789978,0.13666611909866333,0.8572790026664734
